offer_title,price,price_per_meter,offer_type,floor,area,rooms,offer_type_of_building,market,city_name,voivodeship,month,year,population,longitude,latitude
"Mieszkanie sprzedam w Bochni obok galerii ( garaĹĽ ,ogrĂłdek , parking )",297000,6600,Private,0,45,1,Housing Block,primary,Bochnia,Lesser Poland,January,2022,30219,20.430541,49.9693563
"Kawalerka, 32m2, balkon, garaĹĽ podziemny, F-VAT, BieĹĽanĂłw",366000,11391.22,Private,1,32.13,1,Housing Block,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
Lokal mieszkalno-uĹĽytkowy  super lokalizacja,255000,13783.78,Estate Agency,2,18.5,1,Housing Block,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
Jasne mieszkanie dla singla lub studenta z duĹĽym 15 m2 balkonem.,220640,14000,Estate Agency,4,15.76,1,Apartment Building,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
"Mini apartament | 1 pok | 23,68 m2 | Ruczaj",281792,11900,Estate Agency,1,23.68,1,Other,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
Sprzedam kawalerkÄ™ gotowÄ… do zamieszkania,158000,10533.33,Private,0,15,1,Housing Block,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
"OdkupiÄ™ partycypacjÄ™ TBS KrakĂłw  ,pokĂłj z kuchniÄ….",80000,2285.71,Private,,,1,,primary,KrakĂłw,Lesser Poland,January,2022,762508,19.9368564,50.0619474
"Osiedle na WzgĂłrzu MiechĂłw Mieszkanie 1 pokĂłj 30,27 m2",261532.8,8640,Estate Agency,0,30.27,1,Housing Block,primary,MiechĂłw,Lesser Poland,January,2022,11832,20.0276912,50.3566016
Mieszkanie na sprzedaĹĽ,350000,11290.32,Private,5,31,1,Housing Block,primary,Legionowo,Masovia,January,2022,54231,20.9308309,52.3952285
"Mieszkanie stan deweloperski 36,8m",259000,7400,Private,5,35,1,Housing Block,primary,OstroĹ‚Ä™ka,Masovia,January,2022,52917,21.5668607,53.0843135
Mieszkanie w nowym budownictwie z windÄ…,265000,8833.33,Private,0,30,1,Apartment Building,primary,Siedlce,Masovia,January,2022,77102,22.2765138,52.1663751
Sprzedam mieszkanie 30 m2,150000,5000,Private,1,30,1,Housing Block,primary,Sierpc,Masovia,January,2022,18742,19.6675433,52.8529055
Przytulna kawalerka niedaleko PKiN,515000,21458.33,Private,5,24,1,Housing Block,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
Przutlna kawalerka na Muranowie,515000,20196.08,Private,1,25.5,1,Housing Block,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
Mieszkanie 38m2 na III piÄ™trze ul. GĹ‚Ä™bocka,470000,12486.72,Estate Agency,3,37.64,1,Apartment Building,primary,Warszawa,Masovia,January,2022,1744351,21.0067249,52.2319581
