offer_title,price,price_per_meter,offer_type,floor,area,rooms,offer_type_of_building,market,city_name,voivodeship,month,year,population,longitude,latitude
Mieszkanie 3 pokojowe os. ToruĹ„skie,245000,5093.56,Private,3,48.1,3,Housing Block,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
Sprzedam mieszkanie 3 pokojowe na os. RÄ…bin,319000,6618.26,Private,,,3,,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
"Mieszkanie, ul. Szymborska",365000,6293.1,Private,2,58,3,Housing Block,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
"REZERWACJA!Mieszkanie 3pokoje,os.RÄ…bin REZERWACJA!",240000,4897.96,Private,3,49,3,Housing Block,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
Sprzedam mieszkanie na osiedlu RÄ…bin.,285000,6394.44,Private,3,44.57,3,Housing Block,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
Mieszkanie osiedle RÄ…bin,459000,6376.77,Private,0,71.98,3,Housing Block,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
Mieszkanie na sprzedaĹĽ,280000,6363.64,Private,4,44,3,Housing Block,aftermarket,InowrocĹ‚aw,Kuyavia-Pomerania,January,2022,75001,18.2595624,52.7952408
Na sprzedaĹĽ mieszkanie w Koronowie,330000,5156.25,Private,3,64,3,Housing Block,aftermarket,Koronowo,Kuyavia-Pomerania,January,2022,11384,17.9369813,53.3140636
Syndyk sprzeda udziaĹ‚ 3/32 w lokalu mieszkalnym w Koronowie,11640,260,Private,0,44.77,3,Other,aftermarket,Koronowo,Kuyavia-Pomerania,January,2022,11384,17.9369813,53.3140636
Sprzedam mieszkanie,186000,4133.33,Private,4,45,3,Housing Block,aftermarket,Kowalewo Pomerania,Kuyavia-Pomerania,January,2022,4261,18.8975473,53.1543137
Sprzedam mieszkanie Kruszwica,210000,4375,Private,4,48,3,Housing Block,aftermarket,Kruszwica,Kuyavia-Pomerania,January,2022,9004,18.3254766,52.6743797
Sprzedam mieszkanie 3-pokojowe w Lipnie,383000,5794.25,Private,2,66.1,3,Housing Block,aftermarket,Lipno,Kuyavia-Pomerania,January,2022,14968,19.1792654,52.8473901
"Sprzedam, wynajmÄ™ mieszkanie wĹ‚asnoĹ›ciowe 47,3 m2",250000,5285.41,Private,3,47.3,3,Housing Block,aftermarket,Lubraniec,Kuyavia-Pomerania,January,2022,3068,18.8315832,52.543083
Do sprzedania mieszkanie 3-pokojowe w Mogilnie,249000,4150,Private,4,60,3,Housing Block,aftermarket,Mogilno,Kuyavia-Pomerania,January,2022,12369,17.9500677,52.657341
Mieszkanie na sprzedaĹĽ  3 pokojowe 66 m2  NakĹ‚o nad NoteciÄ…,320000,4848.48,Private,2,66,3,Housing Block,aftermarket,NakĹ‚o nad NoteciÄ…,Kuyavia-Pomerania,January,2022,19193,17.5998891,53.1386896
Sprzedam mieszkanie,247000,5393.01,Private,3,45.8,3,Housing Block,aftermarket,NakĹ‚o nad NoteciÄ…,Kuyavia-Pomerania,January,2022,19193,17.5998891,53.1386896
"Mieszkanie spoldzielcze 61,8 m2 (3pokoje) RogoĹşno Wlkp",285000,4611.65,Private,3,61.8,3,Housing Block,aftermarket,RogoĹşno,Kuyavia-Pomerania,January,2022,11309,16.9936288,52.7523023
SPRZEDAM Mieszkanie bezczynszowe + murowany garaĹĽ,115500,1650,Private,2,70,3,Tenement,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
Sprzedam mieszkanie z garaĹĽem,380000,5757.58,Private,3,66,3,Housing Block,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
"Odsprzedam umeblowane mieszkanie RTBS 64m2 Rypin, ul. MĹ‚awska",200000,3125,Private,3,64,3,Housing Block,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
Super oferta!! SĹ‚oneczne mieszkanie w Rypinie!,245000,3828.13,Private,4,64,3,Housing Block,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
Mieszkanie 60m2 w centrum z parkingiem / 3 pokoje. Rypin,189000,3150,Private,2,60,3,Housing Block,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
"Mieszkanie 67,3m2 - Rypin",300000,4457.65,Private,4,67.3,3,Housing Block,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
Sprzedam mieszkanie w Housing Blocku - 59m2 3 pokoje balkon Private,245000,4124.58,Private,4,59.4,3,Housing Block,aftermarket,Rypin,Kuyavia-Pomerania,January,2022,16834,19.4060273,53.0672809
Mieszkanie z widokiem na WisĹ‚Ä™,440000,6769.23,Private,3,65,3,Housing Block,aftermarket,Solec Kujawski,Kuyavia-Pomerania,January,2022,15642,18.2246086,53.0791965
Mieszkanie 3 pokoje Dworcowa,310000,5565.53,Private,2,55.7,3,Housing Block,aftermarket,Solec Kujawski,Kuyavia-Pomerania,January,2022,15642,18.2246086,53.0791965
Mieszkanie M3 w Solcu Kujawskim,225000,4970.18,Private,4,45.27,3,Housing Block,aftermarket,Solec Kujawski,Kuyavia-Pomerania,January,2022,15642,18.2246086,53.0791965
mieszkanie na sprzedaĹĽ z ogrĂłdkiem i garaĹĽem,299000,4380.95,Private,0,68.25,3,Other,aftermarket,Szubin,Kuyavia-Pomerania,January,2022,9580,17.7439402,53.0117503
3-pokojowe mieszkanie - Osiedle SĹ‚owackiego - doskonaĹ‚a lokalizacja!,170000,3711.79,Private,3,45.8,3,Housing Block,aftermarket,SÄ™pĂłlno KrajeĹ„skie,Kuyavia-Pomerania,January,2022,9368,17.5348373,53.4547434
"BezpoĹ›rednio, 3 pokoje, po remoncie!!",385000,8020.83,Private,0,48,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie po remoncie Bema,380000,7916.67,Estate Agency,9,48,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"3 pokoje z moĹĽliwoĹ›ciÄ… 4, Konopackich, II piÄ™tro!",390000,5847.08,Estate Agency,2,66.7,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"Niski Housing Block, 3pokoje, bezpoĹ›rednio,po remoncie!!",385000,8191.49,Private,3,47,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
3 pokojowe mieszkanie 55/60m2 z wyposaĹĽeniem o wartoĹ›ci 100tys. zĹ‚.,569000,9483.33,Private,3,60,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"Mieszkanie 62m2, ToruĹ„, Na Skarpie, 3 pokoje",395000,6370.97,Private,5,62,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"3 pokoje po remoncie, Housing Block z CegĹ‚y nowoczesne",399000,8489.36,Private,3,47,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie 3 pokojowe 48m Rubinkowo I,274000,5717.86,Estate Agency,10,47.92,3,Other,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"Mieszkanie trzypokojowe, Bielany, Ĺšw.JĂłzefa",479900,8400.14,Private,0,57.13,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"Mieszkanie 3 pokojowe z balkonem 50,71 m2, Na Skarpie, ostatnie piÄ™tro",375000,7394.99,Private,10,50.71,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie Rubinkowo II 3 pokoje DO NEGOCJACJI,369000,5857.14,Private,3,63,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie z widokiem na las,395000,6370.97,Private,7,62,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie na Matejki - bezpoĹ›rednio,338000,6897.96,Private,4,49,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie 3-pok gotowe do zamieszkania ToruĹ„ Przy Lesie,549000,8318.18,Private,1,66,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"Mieszkanie WOLNE OD ZARAZ, Rubinkowo I",295000,6120.33,Private,4,48.2,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
3-pokojowe mieszkanie w kamienicy w centrum - Ĺ›wietna lokalizacja!,485000,6466.67,Private,3,75,3,Tenement,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie na sprzedaz Osiedle Mlodych.,499000,7231.88,Private,3,69,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
"Rezerwacjia Mieszkanie 62,90 m2 bez poĹ›rednikĂłw.",485000,7710.65,Estate Agency,1,62.9,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Pilnie sprzedam 3 pokojowe na Skarpie dwustronne balkon loggia,310000,6326.53,Estate Agency,4,49,3,Housing Block,aftermarket,ToruĹ„,Kuyavia-Pomerania,January,2022,203447,18.6048094,53.0102721
Mieszkanie 60m2 ul. Warszawska Tuchola umeblowane i wyposaĹĽone,319000,5316.67,Private,2,60,3,Housing Block,aftermarket,Tuchola,Kuyavia-Pomerania,January,2022,13949,17.8590414,53.5880901
SĹ‚oneczne Mieszkanie 3 pokojowe M 4. Atrakcyjna cena.,229500,3780.89,Private,4,60.7,3,Housing Block,aftermarket,Tuchola,Kuyavia-Pomerania,January,2022,13949,17.8590414,53.5880901
"Mieszkanie 3 pokojowe z dziaĹ‚kÄ… i garaĹĽem na sprzedaĹĽ, WiÄ™cbork",309000,2796.38,Estate Agency,0,110.5,3,Tenement,aftermarket,WiÄ™cbork,Kuyavia-Pomerania,January,2022,5970,17.4873925,53.3525453
Mieszkanie M4 na sprzedaĹĽ w WiÄ™cborku,185000,2312.5,Estate Agency,2,80,3,Tenement,aftermarket,WiÄ™cbork,Kuyavia-Pomerania,January,2022,5970,17.4873925,53.3525453
Mieszkanie sprzedam,200000,4347.83,Private,4,46,3,Housing Block,aftermarket,WÄ…brzeĹşno,Kuyavia-Pomerania,January,2022,14040,18.947293,53.2799665
Sprzedam mieszkanie 56.55m,280000,4912.28,Private,4,57,3,Housing Block,aftermarket,WÄ…brzeĹşno,Kuyavia-Pomerania,January,2022,14040,18.947293,53.2799665
Mieszkanie na sprzedaĹĽ.,245000,3712.12,Estate Agency,4,66,3,Housing Block,aftermarket,WÄ…brzeĹşno,Kuyavia-Pomerania,January,2022,14040,18.947293,53.2799665
"Mieszkanie pod klucz, Poludnie, po remoncie, bez poĹ›rednikĂłw",389000,6078.13,Private,4,64,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
Mieszkanie na sprzedaĹĽ,220000,5116.28,Private,1,43,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
"Mieszkanie 3 pokojowe, 44 m2 w centrum WĹ‚ocĹ‚awka (ĹšrĂłdmieĹ›cie)",237000,5386.36,Private,2,44,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
"Mieszkanie 46,40 m2 Zazamcze",290000,6250,Private,10,46.4,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
"M4 - PoĹ‚udnie, 61 m2  po remoncie - WĹ‚ocĹ‚awek BEZPOSREDNIO",375000,6147.54,Private,9,61,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
"Mieszkanie, trzy pokoje, ul. Ostrowska",245000,5212.77,Private,3,47,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
"Mieszkanie M-4, sprzedam",315000,5000,Estate Agency,4,63,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
Mieszkanie 3-pokojowe w centrum,250000,5555.56,Private,,,3,,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
Mieszkanie w nowym Housing Blocku,680000,9444.44,Private,3,72,3,Apartment Building,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
"sprzedam nowe mieszkanie 48m  - 3 pokoje, przy parku",299000,6208.47,Estate Agency,6,48.16,3,Apartment Building,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
Sprzedam mieszkanie 55m,435000,7909.09,Private,2,55,3,Housing Block,aftermarket,WĹ‚ocĹ‚awek,Kuyavia-Pomerania,January,2022,114885,19.0720627,52.6605543
Mieszkanie na sprzedaĹĽ - osiedle Lege Artis,486450,6900,Private,3,70.5,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Sprzedam mieszkanie,350000,7000,Private,8,50,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie 3-pokojowe 56m ZamoĹ›Ä‡  ulica Wojska Polskiego,325000,5803.57,Private,4,56,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie â€“ ZamoĹ›Ä‡ â€“ ul. WyszyĹ„skiego,339999,5396.81,Estate Agency,9,63,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Bezczynszowe mieszkanie z duszÄ…,460000,6108.9,Private,1,75.3,3,Tenement,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie bezczynszowe osiedle Lege Artis ul. Poprzeczna,365000,6083.33,Private,3,60,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
BEZCZYNSZOWE  mieszkanie  z GARAĹ»EM ul. Traugutta ZamosÄ‡,494990,4814.14,Estate Agency,3,102.82,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie 3 pokoje Zamoyskiego - Zakole,369000,5990.26,Private,6,61.6,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
mieszaknie 3 pokoje ZamoĹ›Ä‡ KiliĹ„skiego,395000,6475.41,Private,4,61,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
"Mieszkanie 64m2, polna zamoĹ›Ä‡",410000,6406.25,Private,3,64,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Sprzedam mieszkanie ul. PeowiakĂłw,300000,6666.67,Private,4,45,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
sprzedam mieszkanie m4,380000,5937.5,Estate Agency,4,64,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie w centrum.,394000,7035.71,Private,2,56,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie ul. Polna,305000,6232.12,Private,4,48.94,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
"Mieszkanie - 3 pokoje - 72,17m2",305000,4226.13,Private,4,72.17,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie 71 m2 na parterze z ogrĂłdkiem,490590,6900,Estate Agency,0,71.1,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie 3 pokoje I piÄ™tro ul. Orzeszkowa,330000,7252.75,Estate Agency,1,45.5,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie na sprzedaĹĽ,268000,4276.37,Private,10,62.67,3,Housing Block,aftermarket,ZamoĹ›Ä‡,Lublin,January,2022,65255,23.2525711,50.7170854
Mieszkanie w Zielonce 3-pokojowe 46m Taras Winda GaraĹĽ Monitoring,460000,10000,Private,3,46,3,Housing Block,aftermarket,Zielonka,Masovia,January,2022,17528,21.1523199,52.310847
"Mieszkanie Zielonka os. WolnoĹ›ci - umeblowane, 49m - balkon",419000,8551.02,Private,4,49,3,Housing Block,aftermarket,Zielonka,Masovia,January,2022,17528,21.1523199,52.310847
Sprzedam mieszkanie 61 m2,699000,11459.02,Private,0,61,3,Apartment Building,aftermarket,Zielonka,Masovia,January,2022,17528,21.1523199,52.310847
3 pokojowy PIÄKNY apartament Ĺšwiecie ul. Hallera,695000,8057.97,Private,2,86.25,3,Apartment Building,aftermarket,Ĺšwiecie,Kuyavia-Pomerania,January,2022,26395,18.4455253,53.4072518
"Mieszkanie wĹ‚asnoĹ›ciowe 57m2, Housing Block 1 piÄ™tro, centrum Marianek, Ĺšwiecie",328000,5754.39,Private,1,57,3,Housing Block,aftermarket,Ĺšwiecie,Kuyavia-Pomerania,January,2022,26395,18.4455253,53.4072518
mieszkanie na sprzedaĹĽ,250000,2941.18,Private,11,85,3,Tenement,aftermarket,Ĺšwiecie,Kuyavia-Pomerania,January,2022,26395,18.4455253,53.4072518
SPRZEDAM Mieszkanie Ĺ»nin ul. BohaterĂłw,235000,4037.11,Private,1,58.21,3,Tenement,aftermarket,Ĺ»nin,Kuyavia-Pomerania,January,2022,14181,17.7218791,52.848462
Mieszkanie 3 pokojowe zamieniÄ™ na dom,999,21.26,Private,2,47,3,Housing Block,aftermarket,Ĺ»nin,Kuyavia-Pomerania,January,2022,14181,17.7218791,52.848462
Mieszkanie Ĺ»nin NiedziaĹ‚kowskiego,340000,5564.65,Private,0,61.1,3,Housing Block,aftermarket,Ĺ»nin,Kuyavia-Pomerania,January,2022,14181,17.7218791,52.848462
"Mieszkanie, Bychawska 21, 3 pokoje, 2 Ĺ‚azienki, duĹĽy balkon, garaĹĽ",320000,5044.14,Private,3,63.44,3,Housing Block,aftermarket,BeĹ‚ĹĽyce,Lublin,January,2022,6765,22.2749995,51.175063
Sprzedam mieszkanie,310000,4967.95,Private,4,62.4,3,Housing Block,aftermarket,BeĹ‚ĹĽyce,Lublin,January,2022,6765,22.2749995,51.175063
"Mieszkanie 52m2 - 3 pokoje, 2 piÄ™tro! Housing Block z 2021 z WINDA!",355000,6826.92,Estate Agency,2,52,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
PiÄ™kne Mieszkanie 3 pokoje  72m Janowska,450000,6250,Private,2,72,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
"Sprzedam mieszkanie 61,1 m2 os. JagielloĹ„skie",285000,4664.48,Private,4,61.1,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
"Sprzedam , nowe wykoĹ„czone mieszkanie WroczyĹ„skiego 3 , 84 m 2",495000,5892.86,Private,3,84,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
Sprzedam mieszkanie,330000,6432.75,Private,2,51.3,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
Mieszkanie w centrum miasta,280000,5714.29,Private,4,49,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
M4 Osiedle MĹ‚odych,340000,5892.55,Estate Agency,0,57.7,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
Mieszkanie 3 pokojowe BiaĹ‚a Podlaska,320000,4848.48,Private,2,66,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
Bezczynszowe mieszkanie na ul. Beka,375000,5948.6,Estate Agency,1,63.04,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
"Sprzedam mieszkanie z garaĹĽem, ul. Janowska, BiaĹ‚a Podlaska",280000,4827.59,Estate Agency,3,58,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
SPRZEDAM MIESZKANIE 57m2 BiaĹ‚a Podlaska - 3 pokoje,320000,5614.04,Private,4,57,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
"Sprzedam 1 piÄ™tro, Sidorska , BiaĹ‚a Podlaska",385000,5923.08,Estate Agency,1,65,3,Housing Block,aftermarket,BiaĹ‚a Podlaska,Lublin,January,2022,57658,23.1193948,52.0338399
Sprzedam mieszkanie 1 piÄ™tro,450000,7597.5,Private,1,59.23,3,Housing Block,aftermarket,BiĹ‚goraj,Lublin,January,2022,27169,22.7209326,50.5424846
Mieszkanie 70 m2 w centrum BiĹ‚goraja z piwnicÄ….,553000,7911.3,Private,2,69.9,3,Housing Block,aftermarket,BiĹ‚goraj,Lublin,January,2022,27169,22.7209326,50.5424846
"Mieszkanie w centrum BiĹ‚goraja, KoĹ›ciuszki 30",430000,6323.53,Private,2,68,3,Housing Block,aftermarket,BiĹ‚goraj,Lublin,January,2022,27169,22.7209326,50.5424846
mieszkanie w Housing Blocku,335000,4407.89,Private,1,76,3,Housing Block,aftermarket,Bychawa,Lublin,January,2022,5178,22.534535,51.0152225
Sprzedam Mieszkanie,367500,6000,Private,,,3,,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"Mieszkanie 71,8m2 + garaĹĽ w centrum",460000,6406.69,Private,2,71.8,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Mieszkanie ul. PoĹ‚aniecka,360000,6000,Private,4,60,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"Mieszkanie M-4  Parter 59,9 mkw",300000,5008.35,Private,0,59.9,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"Mieszkanie 64,88m w kamienicy Gorna Dyrekcja.",289000,4454.38,Private,1,64.88,3,Tenement,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"Nowoczesne mieszkanie w centrum, klima + miejsce parkingowe w cenie",330000,5892.86,Private,3,56,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Sprzedam Mieszkanie Wysoki Standard,419000,6348.48,Private,2,66,3,Tenement,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"CiepĹ‚e mieszkanie, CheĹ‚m, Dyrekcja, 11 Listopada",240000,5454.55,Private,4,44,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Mieszkanie 3 pok.I AWP 21,280000,4912.28,Private,3,57,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
mieszkanie 80 m2 w centrum CheĹ‚ma,380000,4750,Private,2,80,3,Tenement,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Mieszkanie 64m M4 centrum miasta CZYTAJ OPIS,267500,4179.69,Estate Agency,2,64,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"Klimatyczne i niepowtarzalne mieszkanie w kamienicy, 72 m2 ogrĂłdek",430000,5972.22,Private,1,72,3,Tenement,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Mieszkanie 2 pietro 80m2,390000,4875,Private,2,80,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"Mieszkanie M-4 3 pokoje plus aneks kuchenny, CheĹ‚m. REZERWACJA!",390000,5492.96,Private,3,71,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Mieszkanie 3 pokoje + taras,270000,5192.31,Private,,,3,,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"CheĹ‚m / M-3, 48mÂ˛, IV p., Dyrekcja",199000,4145.83,Estate Agency,4,48,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
"CheĹ‚m / M-4, 59,04mÂ˛, III piÄ™tro, Os. SĹ‚oneczne - 255 000 zĹ‚",255000,4319.11,Estate Agency,3,59.04,3,Housing Block,aftermarket,CheĹ‚m,Lublin,January,2022,108311,23.4711548,51.1339221
Mieszkanie na sprzedaĹĽ,295000,5462.96,Private,0,54,3,Tenement,aftermarket,DÄ™blin,Lublin,January,2022,16656,21.8654383,51.562491
Sprzedam mieszkanie w DÄ™blinie,265000,2849.46,Private,2,93,3,Tenement,aftermarket,DÄ™blin,Lublin,January,2022,16656,21.8654383,51.562491
3-pokojowe mieszkanie na sprzedaĹĽ,200000,4000,Private,4,50,3,Housing Block,aftermarket,HrubieszĂłw,Lublin,January,2022,18585,23.8873816,50.8047363
"Sprzedam mieszkanie 86,9m*",356290,4100,Private,11,86.9,3,Tenement,aftermarket,HrubieszĂłw,Lublin,January,2022,18585,23.8873816,50.8047363
Mieszkanie sprzedam,295500,4546.15,Private,1,65,3,Housing Block,aftermarket,HrubieszĂłw,Lublin,January,2022,18585,23.8873816,50.8047363
DuĹĽe mieszkanie 3 pokojowe w centrum Hrubieszowa,196000,3111.11,Estate Agency,,,3,,aftermarket,HrubieszĂłw,Lublin,January,2022,18585,23.8873816,50.8047363
Sprzedam mieszkanie w Housing Blocku 49 m Polna 11  Centrum Hrubieszowa,239000,4877.55,Estate Agency,4,49,3,Housing Block,aftermarket,HrubieszĂłw,Lublin,January,2022,18585,23.8873816,50.8047363
Sprzedam mieszkanie,250000,5122.95,Private,2,48.8,3,Housing Block,aftermarket,JanĂłw Lubelski,Lublin,January,2022,12092,22.4110663,50.7065895
"mieszkanie 47m2 dobra lokalizacja, balkon, piwnica, parking",279000,5936.17,Private,4,47,3,Housing Block,aftermarket,Krasnystaw,Lublin,January,2022,19539,23.1635704,50.9844757
"Sprzedam mieszkanie 58,57m2 w Krasnymstawie",370000,6271.19,Private,2,59,3,Housing Block,aftermarket,Krasnystaw,Lublin,January,2022,19539,23.1635704,50.9844757
"Mieszkanie 45mÂ˛, trzy pokoje",245000,5444.44,Private,0,45,3,Housing Block,aftermarket,Krasnystaw,Lublin,January,2022,19539,23.1635704,50.9844757
